Minstry,Department,Department Abb,Revenue,Capital,Total
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,MA-Tot,57442.41,157.59,57600
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,"1. Department of Agriculture, Cooperation and Farmers' Welfare",DA- Farmer Welfare,46586.3,113.7,46700
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,2. Department of Agricultural Research and Education,DA-Research and Edu,7800,0,7800
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,"3. Department of Animal Husbandry, Dairying and Fisheries",DA-Fisheries,3056.11,43.89,3100
DEPARTMENT OF ATOMIC ENERGY,DEPARTMENT OF ATOMIC ENERGY,D Atomic,7834.38,6137.03,13971.41
DEPARTMENT OF ATOMIC ENERGY,4. Atomic Energy,D At-sub,7834.38,6137.03,13971.41
"MINISTRY OF AYURVEDA, YOGA AND 0TUROPATHY, U0NI, SIDDHA AND HOMOEOPATHY (AYUSH)","MINISTRY OF AYURVEDA, YOGA AND 0TUROPATHY, U0NI, SIDDHA AND HOMOEOPATHY (AYUSH)",M Ayu,1602.67,23.7,1626.37
"MINISTRY OF AYURVEDA, YOGA AND 0TUROPATHY, U0NI, SIDDHA AND HOMOEOPATHY (AYUSH)","5. Ministry of Ayurveda, Yoga and 0turopathy, U0ni, Siddha and Homoeopathy (AYUSH)",AYUSH,1602.67,23.7,1626.37
MINISTRY OF CHEMICALS AND FERTILISERS,MINISTRY OF CHEMICALS AND FERTILISERS,M Che,70586.47,0.1,70586.57
MINISTRY OF CHEMICALS AND FERTILISERS,6. Department of Chemicals and Petrochemicals,D Che,199.65,0,199.65
MINISTRY OF CHEMICALS AND FERTILISERS,7. Department of Fertilisers,D Department of Fer,70125.35,0.04,70125.39
MINISTRY OF CHEMICALS AND FERTILISERS,8. Department of Pharmaceuticals,D Department of Pha,261.47,0.06,261.53
MINISTRY OF CIVIL AVIATION,MINISTRY OF CIVIL AVIATION,M Civ,5881.86,721,6602.86
MINISTRY OF CIVIL AVIATION,9. Ministry of Civil Aviation,ONCivil,5881.86,721,6602.86
MINISTRY OF COAL,MINISTRY OF COAL,M Coa,770.91,0,770.91
MINISTRY OF COAL,10. Ministry of Coal,ISTRY OF Ministry of Coal,770.91,0,770.91
MINISTRY OF COMMERCE AND INDUSTRY,MINISTRY OF COMMERCE AND INDUSTRY,M Com,10172.26,1219.67,11391.93
MINISTRY OF COMMERCE AND INDUSTRY,11. Department of Commerce, Department of Co,4741.7,510,5251.7
MINISTRY OF COMMERCE AND INDUSTRY,12. Department of Industrial Policy and Promotion,,5430.56,709.67,6140.23
MINISTRY OF COMMUNICATIONS,MINISTRY OF COMMUNICATIONS,NSOF COMMUNIC,33791.19,5760.27,39551.46
MINISTRY OF COMMUNICATIONS,13. Department of Posts,NSDepartment of Po,10738.66,757.52,11496.18
MINISTRY OF COMMUNICATIONS,14. Department of Telecommunications,NSDepartment of Te,23052.53,5002.75,28055.28
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",M Con,175471.58,472.69,175944.27
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",15. Department of Consumer Affairs,"AIRS, FOOD AND PUBLIC Co",1736.58,48.59,1785.17
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",16. Department of Food and Public Distribution,,173735,424.1,174159.1
MINISTRY OF CORPORATE AFFAIRS,MINISTRY OF CORPORATE AFFAIRS,M Cor,537.65,26.5,564.15
MINISTRY OF CORPORATE AFFAIRS,17. Ministry of Corporate Affairs,FACorp,537.65,26.5,564.15
MINISTRY OF CULTURE,MINISTRY OF CULTURE,M Cul,2764.28,79.04,2843.32
MINISTRY OF CULTURE,18. Ministry of Culture,RY OF Ministry of Cult,2764.28,79.04,2843.32
MINISTRY OF DEFENCE,MINISTRY OF DEFENCE,M Def,304800.85,99563.86,404364.71
MINISTRY OF DEFENCE,19. Ministry of Defence (Misc.),RY OF Defe,10624.36,5581.73,16206.09
MINISTRY OF DEFENCE,20. Defence Services (Revenue),RY OF Services,185323.19,0,185323.19
MINISTRY OF DEFENCE,21. Capital Outlay on Defence Services,,0,93982.13,93982.13
MINISTRY OF DEFENCE,22. Defence Pensions,RY OF Defence Pensions,108853.3,0,108853.3
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,M Dev,2326,674,3000
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,23. Ministry of Development of North Eastern Region,,2326,674,3000
MINISTRY OF DRINKING WATER AND SANITATION,MINISTRY OF DRINKING WATER AND SANITATION,M Dri,22356.6,0,22356.6
MINISTRY OF DRINKING WATER AND SANITATION,24. Ministry of Drinking Water and Sanitation,,22356.6,0,22356.6
MINISTRY OF EARTH SCIENCES,MINISTRY OF EARTH SCIENCES,M Ear,1700,100,1800
MINISTRY OF EARTH SCIENCES,25. Ministry of Earth Sciences,ESEart,1700,100,1800
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,M Ele,5675,325,6000
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,26. Ministry of Electronics and Information Technology,,5675,325,6000
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE","MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",M Env,2586.67,88.75,2675.42
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE","27. Ministry of Environment, Forests and Climate Change",,2586.67,88.75,2675.42
MINISTRY OF EXTER0L AFFAIRS,MINISTRY OF EXTER0L AFFAIRS,M Ext,13374.5,1636.5,15011
MINISTRY OF EXTER0L AFFAIRS,28. Ministry of Exter0l Affairs,IRExte,13374.5,1636.5,15011
MINISTRY OF FI0NCE,MINISTRY OF FI0NCE,M Fi0,874818.17,19888.65,894706.82
MINISTRY OF FI0NCE,29. Department of Economic Affairs,TRY OF Ec,4359.64,8383.2,12742.84
MINISTRY OF FI0NCE,30. Department of Expenditure,TRY OF Department of Ex,413.33,0,413.33
MINISTRY OF FI0NCE,31. Department of Fi0ncial Services,TRY OF Fi,1739.05,4838.01,6577.06
MINISTRY OF FI0NCE,32. Department of Investment and Public Asset Ma0gement (DIPAM),,44,0,44
MINISTRY OF FI0NCE,33. Department of Revenue,TRY OF Department of Re,90728,8.44,90736.44
MINISTRY OF FI0NCE,34. Direct Taxes,,6728,252,6980
MINISTRY OF FI0NCE,35. Indirect Taxes,,7418,407,7825
MINISTRY OF FI0NCE,36. Indian Audit and Accounts Department,,4289.7,16,4305.7
MINISTRY OF FI0NCE,37. Interest Payments,TRY OF Interest Payment,575794.95,0,575794.95
MINISTRY OF FI0NCE,38. Repayment of Debt,TRY OF Repayment of Deb,0,0,0
MINISTRY OF FI0NCE,39. Pensions,,46430,0,46430
MINISTRY OF FI0NCE,40. Transfers to States,TRY OF Transfers to Sta,136873.5,5984,142857.5
MINISTRY OF FOOD PROCESSING INDUSTRIES,MINISTRY OF FOOD PROCESSING INDUSTRIES,M Foo,1400,0,1400
MINISTRY OF FOOD PROCESSING INDUSTRIES,41. Ministry of Food Processing Industries,,1400,0,1400
MINISTRY OF HEALTH AND FAMILY WELFARE,MINISTRY OF HEALTH AND FAMILY WELFARE,M Hea,51879.6,2720.4,54600
MINISTRY OF HEALTH AND FAMILY WELFARE,42. Department of Health and Family Welfare,,50079.6,2720.4,52800
MINISTRY OF HEALTH AND FAMILY WELFARE,43. Department of Health Research,AMILY He,1800,0,1800
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,M Hea,759.68,386.49,1146.17
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,44. Department of Heavy Industry,RIES AND PUBLIC He,739.24,386.49,1125.73
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,45. Department of Public Enterprises,RIES AND PUBLIC Pu,20.44,0,20.44
MINISTRY OF HOME AFFAIRS,MINISTRY OF HOME AFFAIRS,M Hom,94358.06,13214.73,107572.79
